emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Staff
10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Senior Staff
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Staff
10480,Make,Baba,1965-01-25,1988-05-18,1989-06-03,Staff
11157,Mario,Cochrane,1965-02-01,1985-03-30,1991-02-06,Engineer
11432,Yongmao,Zwicker,1965-01-15,1987-10-19,1997-09-13,Engineer
13499,Kazuhiko,Sidou,1965-01-16,1991-09-01,9999-01-01,Technique Leader
13957,Angus,Chelton,1965-01-10,1986-04-18,1987-02-02,Senior Engineer
14104,Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01,Senior Staff
14551,Richard,Sinitsyn,1965-01-18,1993-06-27,1993-09-16,Senior Staff
14907,Nakhoon,Luga,1965-01-14,1986-12-18,9999-01-01,Senior Staff
15058,Bouchung,Bugrara,1965-01-30,1990-06-18,9999-01-01,Senior Staff
15376,Geoff,Soicher,1965-01-10,1988-08-14,2001-03-01,Senior Staff
16461,Remmert,Schahn,1965-01-14,1986-09-06,9999-01-01,Staff
17206,Berry,DeMori,1965-01-02,1992-12-27,9999-01-01,Engineer
17618,Teiji,Picco,1965-01-12,1992-09-17,1999-11-08,Staff
18021,Adil,Matzke,1965-01-07,1987-05-08,9999-01-01,Engineer
18424,Filipp,Rousseau,1965-01-19,1995-06-07,9999-01-01,Engineer
18617,Surveyors,Crouzet,1965-01-21,1989-04-24,9999-01-01,Senior Staff
18810,Taiji,Jarecki,1965-01-09,1991-06-27,9999-01-01,Engineer
19236,Elzbieta,Morris,1965-01-24,1988-07-12,9999-01-01,Engineer
19803,Ziva,Kowalchuk,1965-01-30,1987-06-13,9999-01-01,Engineer
20100,Utz,Heuter,1965-01-18,1986-06-15,9999-01-01,Senior Staff
20720,Heejo,Brodie,1965-01-17,1996-12-27,1997-05-17,Senior Staff
21181,Jianhui,Cangellaris,1965-01-21,1991-10-06,9999-01-01,Assistant Engineer
21546,Yongmin,Lanteri,1965-01-01,2002-03-19,9999-01-01,Senior Staff
21843,Karsten,Azadmanesh,1965-01-09,1985-11-29,9999-01-01,Senior Engineer
22415,Perla,Jumpertz,1965-01-20,1994-08-24,9999-01-01,Senior Staff
22451,Jasminko,Bresenham,1965-01-27,1987-12-16,1994-01-19,Staff
22455,Barry,Unno,1965-01-06,1990-11-16,9999-01-01,Senior Staff
22502,Rutger,Binkley,1965-01-29,1989-10-16,2001-11-02,Senior Engineer
22926,Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01,Senior Engineer
23396,Hilari,Fairtlough,1965-01-02,1986-12-15,9999-01-01,Technique Leader
24189,Abdelaziz,Atrawala,1965-01-16,1993-03-28,1997-02-23,Staff
24205,Roddy,Rubsam,1965-01-25,1993-09-19,9999-01-01,Senior Engineer
24394,Zhonghui,Conta,1965-01-04,1994-09-10,9999-01-01,Staff
24553,Anwar,Passafiume,1965-01-12,1987-01-30,9999-01-01,Senior Staff
26476,Bilhanan,Karcich,1965-01-19,1996-04-09,1997-02-04,Staff
26617,Berto,Bruckman,1965-01-06,1991-11-23,1994-03-27,Engineer
26788,Zongyan,Dalphin,1965-01-25,1988-04-23,9999-01-01,Engineer
27686,Manu,Rosiles,1965-01-28,1998-03-03,9999-01-01,Senior Staff
27970,KayLiang,Miyakawa,1965-01-12,1995-11-22,2000-02-07,Technique Leader
28193,Xinglin,Mitsuhashi,1965-01-29,1988-12-14,9999-01-01,Senior Engineer
28974,Chenxi,Sundgren,1965-01-09,1986-09-02,9999-01-01,Senior Engineer
29265,Gilbert,Calkin,1965-01-14,1988-03-21,9999-01-01,Staff
29418,Valery,Mersereau,1965-01-22,1998-07-01,9999-01-01,Assistant Engineer
29679,Kolar,Steenbeek,1965-01-17,1986-10-18,9999-01-01,Senior Engineer
30154,Mayuko,Skafidas,1965-01-26,1999-04-19,9999-01-01,Technique Leader
30182,Leon,Potthoff,1965-01-26,1985-12-08,9999-01-01,Senior Engineer
30465,Randi,Avouris,1965-01-28,1986-07-16,9999-01-01,Engineer
30552,Yishai,Terlouw,1965-01-18,1986-09-19,1999-01-07,Engineer
30938,Yakkov,Samarati,1965-01-06,1997-10-10,9999-01-01,Staff
31170,Tuval,Waleschkowski,1965-01-08,1987-10-16,1988-12-14,Senior Staff
31207,Abdelwaheb,Dulin,1965-01-30,1993-08-05,9999-01-01,Senior Engineer
31568,Mark,Lalonde,1965-01-10,1996-11-24,9999-01-01,Staff
31629,Toong,Veldwijk,1965-01-24,1986-07-28,1996-04-26,Assistant Engineer
32347,Terresa,Peres,1965-01-08,1990-09-15,9999-01-01,Senior Staff
32649,Ingmar,Nannarelli,1965-01-12,1988-06-10,9999-01-01,Senior Staff
32714,Radoslaw,Maliniak,1965-01-16,1997-11-17,2001-09-18,Staff
33293,Adamantios,Vanwelkenhuysen,1965-02-01,1994-01-11,2000-08-18,Engineer
33606,Clyde,Swift,1965-01-02,1994-11-14,1996-12-29,Staff
33722,Anwar,Collette,1965-01-15,1994-03-22,2001-02-03,Senior Engineer
34077,Angel,Sichman,1965-01-08,1988-11-16,9999-01-01,Staff
34446,Chinhyun,Bauknecht,1965-01-31,1986-12-19,9999-01-01,Senior Engineer
34452,Naftaly,Foong,1965-01-08,1991-05-10,9999-01-01,Engineer
34533,Erzsebet,Shigei,1965-01-10,1991-01-21,1995-01-16,Senior Engineer
35044,Jiang,Waschkowski,1965-01-04,1989-05-27,9999-01-01,Engineer
35441,Chandrasekaran,Peek,1965-01-31,1990-09-17,9999-01-01,Senior Engineer
35642,Ashish,Talmon,1965-01-30,1995-06-13,1999-02-28,Senior Engineer
35798,Ulf,Oberman,1965-01-29,1997-03-15,9999-01-01,Senior Engineer
36521,Serif,Gladwell,1965-01-21,1987-03-06,9999-01-01,Senior Staff
36626,Fen,Genin,1965-01-02,1986-05-09,9999-01-01,Senior Staff
36982,Kotesh,Rajala,1965-01-22,1992-06-23,9999-01-01,Engineer
37070,Jeong,Undy,1965-01-22,1985-02-13,9999-01-01,Senior Staff
37592,Berni,Stranks,1965-02-01,1985-11-05,1992-09-19,Engineer
37719,Nakhoon,Buescher,1965-01-31,1988-06-12,1999-01-17,Assistant Engineer
37945,Suzette,Butterworth,1965-01-02,1994-02-19,9999-01-01,Senior Engineer
38043,Michaela,Randi,1965-01-05,1985-11-23,9999-01-01,Engineer
38103,Masasuke,Babu,1965-01-12,1988-03-31,9999-01-01,Engineer
38168,Fumiko,Deverell,1965-01-14,1987-08-15,9999-01-01,Staff
38550,JoAnne,Baez,1965-01-14,1987-02-16,9999-01-01,Senior Engineer
38593,Huei,Orsini,1965-01-14,1986-06-04,9999-01-01,Engineer
39268,Constantijn,Awdeh,1965-01-10,1987-10-20,1990-06-10,Engineer
39341,Mahmut,Lampe,1965-01-01,1985-05-11,9999-01-01,Senior Engineer
39952,Otmar,Sudbeck,1965-01-02,1998-07-22,9999-01-01,Staff
40269,Toshiki,Ghazalie,1965-01-10,1991-12-05,9999-01-01,Senior Staff
40283,Sudhanshu,Boissier,1965-01-07,1985-05-11,9999-01-01,Senior Engineer
40301,Spyrose,Felder,1965-01-20,1996-06-16,1997-10-20,Senior Engineer
40536,Harngdar,Bernardinello,1965-01-20,1988-02-29,9999-01-01,Senior Engineer
40773,Shimshon,Aingworth,1965-01-09,1986-04-13,9999-01-01,Senior Staff
40983,Marla,Cherinka,1965-01-17,1986-12-01,9999-01-01,Technique Leader
41114,Petter,Thummel,1965-01-25,1995-12-24,9999-01-01,Technique Leader
41137,Bikash,Buchter,1965-01-20,1987-11-23,1996-01-08,Senior Staff
41520,Xiong,Uhrik,1965-01-20,1988-03-21,9999-01-01,Senior Engineer
41609,Yucai,Simmen,1965-01-04,1987-10-13,9999-01-01,Senior Staff
42778,Shuji,Remmers,1965-01-19,1987-12-18,9999-01-01,Staff
43358,Ottavia,Mitsuhashi,1965-01-07,1989-08-18,1996-07-13,Staff
43733,Huei,Boguraev,1965-01-26,1993-12-31,9999-01-01,Senior Staff
44540,Mingzeng,Sadowski,1965-01-16,1989-11-12,9999-01-01,Senior Engineer
44959,Volkmar,Uhrik,1965-01-21,1988-01-16,9999-01-01,Engineer
45162,Dulce,Speel,1965-01-11,1987-10-19,9999-01-01,Engineer
45590,Masoud,Genin,1965-01-21,1991-02-16,1994-06-01,Technique Leader
46328,Wuxu,Trogemann,1965-01-05,1997-01-27,9999-01-01,Senior Staff
46811,Junsik,Berendt,1965-01-10,1988-04-27,9999-01-01,Senior Engineer
47262,Gonzalo,Binkley,1965-01-10,1985-08-16,9999-01-01,Senior Engineer
47515,Naraig,Jenevein,1965-01-26,1987-01-18,9999-01-01,Senior Engineer
48275,Sariel,Massonet,1965-01-29,1987-11-20,9999-01-01,Staff
50670,Boguslaw,Snedden,1965-01-30,1985-02-20,9999-01-01,Staff
51036,Chriss,Fasbender,1965-01-29,1995-05-23,9999-01-01,Staff
51142,Rosine,Lakshmanan,1965-01-29,1986-01-31,9999-01-01,Engineer
52038,Chikako,Armand,1965-01-13,1985-05-18,9999-01-01,Senior Engineer
52386,Adas,Denti,1965-01-28,1986-05-30,9999-01-01,Staff
52599,Augustine,Mungall,1965-01-25,1994-01-13,9999-01-01,Engineer
52770,Shugo,Yurek,1965-01-31,1992-08-28,9999-01-01,Senior Staff
52778,Alain,Penn,1965-01-15,1986-05-03,9999-01-01,Technique Leader
52956,Khalil,Picci,1965-01-31,1998-11-24,9999-01-01,Engineer
52970,Lobel,Werthner,1965-01-22,1988-03-17,9999-01-01,Engineer
53088,Mechthild,Lamma,1965-01-25,1986-05-19,1993-06-03,Engineer
53278,Premsyl,Lortz,1965-01-31,1993-02-01,9999-01-01,Senior Staff
53431,Sham,Vasanthakumar,1965-01-12,1985-10-24,1993-05-24,Senior Staff
53597,Jiafu,Marchegay,1965-01-30,1985-03-02,9999-01-01,Senior Engineer
53874,Bodo,Schade,1965-01-23,1986-02-14,9999-01-01,Senior Staff
53924,Arnould,Gaughan,1965-01-27,1991-01-23,9999-01-01,Engineer
54198,Shaowen,Segond,1965-01-01,1986-01-06,9999-01-01,Engineer
55799,Jianwen,Litzler,1965-01-23,1987-06-17,9999-01-01,Engineer
55857,Adin,Scallan,1965-01-18,1987-09-15,9999-01-01,Senior Staff
56209,Remzi,Douceur,1965-01-19,1992-12-01,9999-01-01,Engineer
56415,Sigeru,Nivat,1965-01-30,1991-10-24,9999-01-01,Staff
56428,Olivera,Hanabata,1965-01-27,1986-11-10,9999-01-01,Senior Staff
56682,Roded,Picco,1965-01-28,1993-11-06,9999-01-01,Assistant Engineer
56847,Menkae,Chinin,1965-01-14,1989-08-19,1998-08-27,Senior Engineer
58147,Shigenori,Sullins,1965-01-09,1988-02-24,9999-01-01,Senior Staff
58819,Gennady,Liesche,1965-01-04,1987-12-02,9999-01-01,Senior Staff
59329,Zissis,Bazzichi,1965-01-15,1987-02-07,1991-01-25,Staff
59661,Saeko,Baik,1965-01-09,1996-05-23,1997-10-11,Staff
59869,Zsolt,Riefers,1965-02-01,1987-09-25,9999-01-01,Staff
60091,Surveyors,Bade,1965-02-01,1990-04-11,9999-01-01,Senior Staff
60559,Jeanna,Stemann,1965-01-19,1988-08-29,9999-01-01,Engineer
61253,Cheong,Uhrik,1965-01-09,1996-06-04,2002-05-09,Engineer
61377,Dannz,Ohori,1965-01-01,1988-01-18,1997-04-13,Senior Staff
61680,Hauke,Templeman,1965-01-24,1991-10-23,1999-02-21,Staff
62033,Heeju,Cappelli,1965-01-24,1987-01-15,9999-01-01,Senior Engineer
62167,Mihalis,Haldar,1965-01-25,1998-05-11,2001-02-03,Senior Engineer
62245,Adel,Bressoud,1965-01-01,1995-08-30,9999-01-01,Engineer
63294,Tetsushi,Tanemo,1965-01-23,1997-03-01,9999-01-01,Senior Engineer
63419,Hiroyasu,Seuren,1965-01-14,1989-03-05,9999-01-01,Senior Engineer
63444,Padma,Peres,1965-01-19,1985-02-20,1994-12-22,Senior Staff
63631,Falguni,Cherinka,1965-01-22,1987-10-15,9999-01-01,Senior Engineer
63706,Sedat,Itzigehl,1965-01-26,1997-07-31,9999-01-01,Engineer
64209,Golgen,Schoegge,1965-01-24,1988-02-26,9999-01-01,Senior Staff
64431,Faiza,Zongker,1965-01-25,1995-12-10,2001-12-03,Technique Leader
64487,Tsutomu,Rebaine,1965-01-27,1986-09-17,9999-01-01,Engineer
64790,Shin,Piveteau,1965-01-29,1985-04-19,9999-01-01,Engineer
64828,Krister,Pappas,1965-01-27,1999-09-30,9999-01-01,Staff
64984,Eldridge,Eldridge,1965-01-06,1994-08-04,9999-01-01,Senior Engineer
65013,Chandrasekaran,Peral,1965-01-03,1985-02-28,2001-12-14,Senior Engineer
65998,Mandell,Alameldin,1965-01-09,1989-04-08,9999-01-01,Staff
66382,Domenico,Candan,1965-01-04,1997-07-13,9999-01-01,Engineer
66530,Dung,Leaver,1965-01-29,1998-04-04,9999-01-01,Staff
66702,Deniz,Thibadeau,1965-02-01,1994-09-27,9999-01-01,Engineer
66807,Aiman,Rosaz,1965-01-21,1990-05-22,9999-01-01,Engineer
67320,Sadok,Lorys,1965-01-18,1987-05-10,9999-01-01,Senior Staff
67934,Aiman,Gargeya,1965-01-07,1985-03-07,9999-01-01,Engineer
68168,Marl,Thiria,1965-01-14,1987-03-18,1996-12-31,Senior Staff
68608,Yucai,Seghrouchni,1965-01-26,1989-06-09,9999-01-01,Engineer
68633,Chinhyun,Rassart,1965-01-28,1993-07-29,9999-01-01,Senior Engineer
69052,Shietung,Shrader,1965-01-26,1995-08-05,9999-01-01,Senior Staff
69219,Shuky,Redmiles,1965-01-09,1994-07-06,1994-11-19,Senior Staff
69936,Lalit,Unni,1965-01-23,1999-01-31,9999-01-01,Assistant Engineer
70990,Arumugam,Nitta,1965-01-22,1990-03-23,9999-01-01,Senior Engineer
71188,Pranjal,Schapiro,1965-01-02,1986-12-14,9999-01-01,Staff
71243,Kinh,Buchter,1965-01-10,1986-03-29,9999-01-01,Engineer
71334,Cathie,Peck,1965-01-15,2001-03-04,9999-01-01,Senior Engineer
71685,Kristinn,Olano,1965-01-01,1989-10-03,9999-01-01,Senior Engineer
72190,Sajjad,Waeselynck,1965-01-19,1999-09-13,9999-01-01,Engineer
72918,Takahira,Szilard,1965-01-22,1988-01-16,9999-01-01,Senior Staff
73233,Shigeo,Merey,1965-01-15,1985-07-30,9999-01-01,Senior Engineer
73794,Aiichiro,Castellani,1965-01-26,1985-08-26,1987-08-19,Engineer
73903,Bartek,Cappello,1965-01-29,1988-07-28,1993-01-02,Engineer
74237,Jaihie,Vilarrasa,1965-01-29,1992-03-03,2001-06-20,Assistant Engineer
